Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,green,LED_0603_1608Metric,8.4125,0.8,0.0,top
J1,XUNPU TYPEC-324G-BCP24 or GCT USB4080-03-A,GCT_USB4080-03-A_REVA1,35.2275,9.0,90.0,top
J2,XUNPU HDMI-201 or Würth 685119136923,685119136923,4.2375,9.0,-90.0,top
R1,1k,R_0603_1608Metric,11.475,0.8,0.0,top
U2,ESD204DQAR-ES,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,9.4,6.0,180.0,top
U3,ESD204DQAR-ES,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,9.4,9.0,180.0,top
U4,ESD204DQAR-ES,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,9.4,12.0,0.0,top
