Comment,Designator,Footprint,LCSC,Quantity
1k,R1,R_0603_1608Metric,C21190,1
green,D1,LED_0603_1608Metric,C2286,1
ESD204DQAR-ES,"U2,U3,U4",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,C2827646,3
XUNPU HDMI-201 or Würth 685119136923,J2,685119136923,C720618,1
XUNPU TYPEC-324G-BCP24 or GCT USB4080-03-A,J1,GCT_USB4080-03-A_REVA1,C920230,1
